Name
Nippon Pharma ETF (PHARMABEES)
Axis Nifty AAA Bond + SDL Apr26 ETF
ICICI Pru Nifty Metal ETF
HDFC Sensex ETF
Motilal Oswal Silver ETF
Mirae Asset Silver ETF
Mirae Asset Nifty 1D Rate Liquid ETF 
LIC Nifty 50 ETF
DSP Nifty Top 10 Equal Weight ETF
ICICI Pru BSE Liquid Rate ETF
Mirae Ast Nifty Smallcap 250 MQ 100 ETF
ICICI Pru Nifty FMCG ETF
Motilal Oswal Midcap 100 ETF
LIC Nifty 100 ETF
LIC Sensex ETF
HDFC Nifty Private Bank ETF
Kotak Nifty Alpha 50 ETF
DSP Nifty Bank ETF
Tata Nifty 50 ETF
Invesco India Gold ETF
ICICI Pru Nifty 10 Year G-Sec ETF
Quantum Gold ETF
LIC Nifty Midcap 100 ETF
ICICI Pru Nifty Midcap 150 ETF
ICICI Pru Nifty 200 Momentum 30 ETF
Bajaj Finserv Nifty 1D Rate Liq ETF
Mirae Asset Nifty Liquid ETF
DSP Nifty Private Bank ETF
Mirae Asset Hang Seng Tech ETF
Mirae Asset Nifty Financial Service ETF
ICICI Prudential IT ETF
DSP Nifty Liquid ETF
Groww Gold ETF
Bajaj Finserv Nifty Bank ETF
Axis Nifty Bank ETF
Mirae Asset Nifty 200 Alpha 30 ETF
Nippon Auto ETF (AUTOBEES)
ICICI Pru Nifty Infrastructure ETF
SBI Nifty Private Bank ETF
Mirae Asset Nifty MS400 MQ 100 ETF
Mirae Asset Nifty Metal ETF
Kotak Nifty IT ETF
ICICI Pru BSE 500 ETF
Groww Silver ETF
BNP Paribas Gold ETF
Nippon India Nifty 100 ETF
Aditya Birla Sensex ETF
Groww Nifty India Defence ETF
ICICI Pru Nifty Fin Svc Ex-Bank ETF
ICICI Pru Nifty Oil & Gas ETF
Motilal Oswal Nifty Realty ETF
Motilal Oswal Nifty 500 Momentum 50 ETF
Groww Nifty EV & New Age Automotive ETF
Mirae Asset Nifty Bank ETF
DSP Nifty PSU Bank ETF
Union Gold ETF
Nippon 5 Year G-Sec ETF (GILT5YBEES)
Mirae Asset Nifty India Mfg. ETF
DSP Nifty 50 ETF
Motilal Oswal Nifty 500 ETF
Nippon Nifty Cons. ETF (CONSUMBEES)
Bajaj Finserv Nifty 50 ETF
Zerodha Nifty Midcap 150 ETF
Aditya Birla Nifty IT ETF
ICICI Pru Nifty 50 Value 20 ETF
Mirae Asset Nifty Energy ETF
ICICI Pru Nifty Auto ETF
Kotak Nifty Midcap 50 ETF
Kotak Nifty 100 Low Volatility 30 ETF
Tata Nifty India Digital ETF
ICICI Pru Nifty 200 Quality 30 ETF
Axis Nifty IT ETF
Motilal Oswal Nifty Smallcap 250 ETF
Mirae Asset Nifty EV & New Age Auto ETF
ICICI Pru Nifty 100 ETF
Nippon Nifty 50 Value 20 ETF (NV20BEES)
Motilal Oswal 5 Year G-Sec ETF
HDFC Nifty Midcap 150 ETF
ICICI Pru Nifty Healthcare ETF
Motilal Oswal Nasdaq Quality 50 ETF
HDFC Nifty Next 50 ETF
Groww Nifty India Railways PSU ETF
Motilal Oswal BSE Enhanced Value ETF
Axis Ssensex ETF
Mirae Asset Nifty IT ETF
360 One Gold ETF
ICICI Pru Nifty PSU Bank ETF
Motilal Oswal Nifty 200 Momentum ETF
 Edelweiss Nifty LargeMidcap 250 ETF
HDFC Nifty 200 Momentum 30 ETF
Motilal Oswal Nifty Capital Market ETF
Zerodha Nifty 100 ETF
Mirae Asset Nifty50 Equal Weight ETF
ICICI Pru Nifty Commodities ETF
HDFC Nifty IT ETF
Mirae Asset Nifty 100 ESG Sector Leader
Motilal Oswal Nifty 50 Equal Weight ETF
Angel One Nifty 1D Rate Liquid ETF
DSP Nifty Midcap 150 Quality 50 ETF
Aditya Birla Nifty Next 50 ETF
Zerodha Nifty 8-13 Yr G-Sec ETF
Nippon India Nifty 1D Rate Liquid ETF
Invesco India Nifty 50 ETF
ICICI Pru BSE Midcap Select ETF
Mirae Asset Nifty 8-13 Year G-Sec ETF
Groww BSE Power ETF
Kotak Nifty 50 Value 20 ETF
Quantum Nifty 50 ETF
Angel One Gold ETF
Groww Nifty 1D Rate Liquid ETF
SBI Nifty 200 Quality 30 ETF
HDFC Nifty 100 ETF
Choice Gold ETF
Nippon Nifty 50 DO ETF (DIVOPPBEES)
Mirae Asset Mutual Fund
SBI Nifty IT ETF
Motilal Oswal Sensex Low Volatility ETF
Mirae Asset Nifty 500 Multicap ETF
Motilal Oswal Nifty 50 ETF
SBI Nifty Liquid ETF
ICICI Pru Nifty Consumption ETF
Aditya Birla Nifty Healthcare ETF
HDFC Nifty 1D Rate Liquid ETF
Nippon India Nifty 50 Shariah ETF
Mirae Asset Nifty 100 Low Vol 30 ETF
360 ONE Silver ETF
Motilal Oswal Nifty Energy ETF
ICICI Pru Nifty EV & New Age Auto ETF
Mirae Asset Nifty New Age Cons. ETF
ABGSEC
DSP BSE Sensex Next 30 ETF
Aditya Birla Nifty 200 Momentum 30 ETF
Motilal Oswal Sensex Healthcare ETF
Angel One Nifty Total Market ETF
Kotak Nifty MNC ETF
SBI Nifty 1D Rate Liquid ETF - Growth
DSP Nifty IT ETF
Kotak Nifty Chemicals ETF
HDFC Nifty 100 Low Volatility 30 ETF
HDFC Nifty 50 Value 20 ETF
Zerodha Nifty Smallcap 100 ETF
Kotak Nifty Consumption ETF
Groww Nifty Metal ETF
HDFC Nifty PSU Bank ETF
LIQUIDSHRI
Edelweiss Nifty 500 Multicap MQ 50 ETF
Edelweiss Nifty 1D Rate Liquid ETF
SBI Nifty 50 Equal Weight ETF
GSEC10ABSL
UTI Sensex Next 50 ETF
Mirae Asset Sensex ETF
Aditya Birla CRISIL Liquid Ovnight ETF
ICICI Pru Nifty 200 Value 30 ETF
Aditya Birla Nifty 200 Quality 30 ETF
Mirae Asset Nifty Smallcap 250 ETF
MO Nifty Midcap150 Momtm 50 ETF
UTI Nifty 5 Year G-Sec ETF
Groww Nifty India Internet ETF
SBI Nifty Consumption ETF
Aditya Birla Nifty PSE ETF
UTI Nifty 10 Year G-Sec ETF
Axis Nifty500 Value 50 ETF
Groww Nifty 500 Momentum 50 ETF
The Wealth Company Gold ETF
Groww Nifty Capital Markets ETF
Axis Nifty Healthcare ETF
HDFC BSE 500 ETF
HDFC Nifty 100 Quality 30 ETF
Mirae Asset Nifty India Internet ETF
ICICI Pru Nifty 5 Year G-Sec ETF
Groww Nifty 50 ETF
Motilal Oswal BSE Quality ETF
Zerodha Nifty 50 ETF
Mirae Asset BSE Select IPO ETF
Groww Nifty PSE ETF
HDFC Nifty Growth Sectors 15 ETF
Mirae Asset BSE 200 Equal Weight ETF
Edelweiss Nifty 50 ETF
Angel One Nifty 50 ETF
Edelweiss BSE Cap. Markets & Ins. ETF
Edelweiss BSE Sensex ETF
Groww Nifty 200 ETF
Edelweiss Nifty Bank ETF
Axis Nifty India Consumption ETF
UTI Nifty Midcap 150 ETF
Groww Nifty Smallcap 250 ETF
Bandhan Silver ETF
Tata Nifty Private Bank ETF
DSP Nifty Healthcare ETF
Groww Nifty Realty ETF
Motilal Oswal Nifty 100 ETF
DSP Nifty500 Flexicap Quality 30 ETF
Bandhan Gold ETF
Nippon Nifty India Manufacturing ETF
Mirae Asset Nifty Top 20 Eq Weight ETF
DSP Sensex ETF
DSP Nifty Midcap 150 ETF
 Mirae Asset BSE 500 Div Leaders 50 ETF
ICICI Pru Nifty Top 15 Eq Weight ETF
Kotak Nifty Next 50 ETF
Motilal Oswal Nifty India Tourism ETF
DSPAMC - MSCIADD
Groww Nifty Next 50 ETF
Groww Nifty Chemicals ETF
MIRAEAMC - INFRA
DSP Nifty Next 50 ETF
DSP Nifty Smallcap 250 ETF
Kotak Nifty Midcap 150 ETF
Mirae Asset Nifty 500 Healthcare ETF
Angel One Nifty Total Market MQ 50 ETF
Groww Nifty Midcap 150 ETF
Kotak Nifty 100 Equal Weight ETF
Motilal Oswal Nifty Alpha 50 ETF
Kotak Nifty 200 Momentum 30 ETF
Motilal Oswal Nifty Services Sector ETF
Motilal Oswal BSE Select IPO ETF
Nippon India BSE Sensex Next 30 ETF
UTI Nifty IT ETF
Groww Nifty 500 Low Volatility 50 ETF
Baroda BNP Paribas Nifty Bank ETF
Bandhan Nifty 50 ETF
Kotak Nifty200 Quality 30 - ETF
Motilal Oswal Nifty MNC ETF
Motilal Oswal BSE India Infra ETF
Motilal Oswal Nifty Next 50 ETF
Motilal Oswal Nifty PSE ETF
Motilal Oswal Nifty Ind Mfg ETF
